fiscal_year,year,item_description,value_in_crores,released_on,updated_on,data_source,source_url
2011-12,2011,Net National Income,7742329.771,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2011-12,2011,Other current transfers from RoW net,304902.0,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2011-12,2011,Net National Disposable Income,8047231.771,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2011-12,2011,Net Disposable Income of General Government,711518.0,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2011-12,2011,Current taxes on income wealth etc ,509546.0,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2011-12,2011,Net Saving of Public Corporations,158212.227,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2011-12,2011,Net Saving of Private Corporations,469165.474,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2011-12,2011,"Current taxes on income and wealth, paid by corporations",356479.0,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2011-12,2011,Personal Income,6861403.07,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2011-12,2011,"Current taxes on income and wealth, paid by households",153067.0,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2011-12,2011,Household Disposable Income,6708336.07,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2012-13,2012,Net National Income,8766345.336,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2012-13,2012,Other current transfers from RoW net,350081.0,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2012-13,2012,Net National Disposable Income,9116426.336,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2012-13,2012,Net Disposable Income of General Government,796477.0,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2012-13,2012,Current taxes on income wealth etc ,578693.0,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2012-13,2012,Net Saving of Public Corporations,150024.368,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2012-13,2012,Net Saving of Private Corporations,576927.536,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2012-13,2012,"Current taxes on income and wealth, paid by corporations",388903.0,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2012-13,2012,Personal Income,7782787.432,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2012-13,2012,"Current taxes on income and wealth, paid by households",189790.0,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2012-13,2012,Household Disposable Income,7592997.432,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2013-14,2013,Net National Income,9897662.867,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2013-14,2013,Other current transfers from RoW net,395918.0,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2013-14,2013,Net National Disposable Income,10293580.867,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2013-14,2013,Net Disposable Income of General Government,866931.0,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2013-14,2013,Current taxes on income wealth etc ,640772.0,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2013-14,2013,Net Saving of Public Corporations,126013.162,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2013-14,2013,Net Saving of Private Corporations,725996.664,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2013-14,2013,"Current taxes on income and wealth, paid by corporations",389596.0,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2013-14,2013,Personal Income,8825816.041,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2013-14,2013,"Current taxes on income and wealth, paid by households",251176.0,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2013-14,2013,Household Disposable Income,8574640.041,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2014-15,2014,Net National Income,10978237.952,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2014-15,2014,Other current transfers from RoW net,405154.0,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2014-15,2014,Net National Disposable Income,11383391.952,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2014-15,2014,Net Disposable Income of General Government,1002427.0,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2014-15,2014,Current taxes on income wealth etc ,699755.0,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2014-15,2014,Net Saving of Public Corporations,120999.013,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2014-15,2014,Net Saving of Private Corporations,891945.13,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2014-15,2014,"Current taxes on income and wealth, paid by corporations",439433.0,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2014-15,2014,Personal Income,9628342.809,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2014-15,2014,"Current taxes on income and wealth, paid by households",260322.0,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2014-15,2014,Household Disposable Income,9368020.809,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2015-16,2015,Net National Income,12162397.727,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
